X50,NAV
0.0,0.0
2875.653076171875,10000000.0
2869.219482421875,10004275.341079297
2878.004638671875,9999631.496903958
2917.377197265625,10002288.450524868
2863.479248046875,10101479.926393094
2887.238525390625,9958451.137301983
2867.02685546875,10120094.582931256
2855.450439453125,10040574.496642804
2872.40087890625,10044260.447923398
2894.95751953125,10074465.921537137
2892.18212890625,10182283.140937543
2919.67822265625,10195458.769037826
2955.83984375,10284295.124437911
2981.07275390625,10475759.460618598
2981.586181640625,10568063.171770673
2969.8046875,10688639.71174012
2957.143798828125,10724665.432630878
2999.561767578125,10732132.357107501
2982.447998046875,10807333.016907077
2937.0078125,10784339.775644641
2954.357666015625,10653795.418678623
2956.829345703125,10602632.52670564
2963.434814453125,10699149.775813
2930.9130859375,10715663.350127118
2940.08056640625,10598401.464436429
2928.835205078125,10692937.217257397
2927.876708984375,10598761.389420407
2929.4658203125,10475960.517142193
2897.70263671875,10530937.652466672
2922.347900390625,10387747.613928692
2922.979736328125,10404255.889580624
2940.80029296875,10333106.00544944
2983.119873046875,10406916.877908852
3013.533447265625,10535147.36048713
3015.420166015625,10674199.239797737
3004.723388671875,10702864.422769692
3011.75341796875,10688824.092836525
2963.17529296875,10702959.718914177
2968.905029296875,10523582.04848304
2973.21728515625,10603546.74670234
2954.30517578125,10607538.298769142
2959.03173828125,10545089.287634041
2967.0517578125,10567259.43123832
2981.361572265625,10593333.378286507
2968.283203125,10604254.629202034
2952.1181640625,10540002.605981972
2954.73388671875,10544558.388982471
3002.648681640625,10495752.4907214
3022.27490234375,10615919.462714847
3039.977294921875,10675717.2482354
3032.79150390625,10783334.961353
3033.299072265625,10764226.424942669
3012.45947265625,10736863.008104023
2965.70751953125,10645168.442068752
2971.360595703125,10498015.996728595
2967.670166015625,10506510.247741397
2968.568603515625,10387539.316869996
2954.701416015625,10458245.471407197
2980.94580078125,10360902.889157556
3000.7451171875,10415859.352017663
2968.123779296875,10528942.042137407
2949.3369140625,10420303.978784882
2922.266845703125,10374388.929541908
2951.247314453125,10270528.886779152
2946.56689453125,10312439.620288216
2944.32177734375,10331704.157622658
2930.481689453125,10339850.03362497
2894.71533203125,10302336.416228615
2899.43896484375,10221250.655945145
2909.623291015625,10263422.242935501
2901.06640625,10323624.681528412
2921.947509765625,10290106.10087294
2939.818359375,10400652.721861785
2933.0419921875,10461342.52372164
2936.9931640625,10463619.27099604
2949.646728515625,10552682.292155212
2938.044189453125,10542538.629946047
3006.312744140625,10496698.682340914
2999.201416015625,10816073.009523684
3033.142333984375,10959335.20019942
3025.78466796875,11108931.137213046
3017.712890625,11052644.382509524
3012.625732421875,11011092.654594714
2984.24267578125,10988505.625900561
2996.764892578125,10855880.461916262
2986.003662109375,11023832.612833316
3011.635986328125,11034162.082848255
3017.77880859375,11147480.98319501
3062.75,11115154.642376605
3063.218994140625,11332158.347615901
3090.8330078125,11302753.056344692
3078.279296875,11401795.53602666
3056.8359375,11400764.289340679
3074.01513671875,11331490.229568187
3037.8525390625,11374967.691478435
3067.545654296875,11225454.08974618
3067.881103515625,11347665.625247661
3090.12841796875,11382648.391828243
3080.6015625,11420515.299377147
3058.0078125,11381718.605193797
3043.093017578125,11331061.437210742
3053.1728515625,11277940.935656942
3065.990478515625,11292855.615065016
3012.1123046875,11300645.106074728
3017.87841796875,11112810.64948789
2932.4931640625,11129309.6522545
2727.093017578125,10899252.39660203
2794.66064453125,10091574.545282718
2812.8994140625,10230520.022267696
2854.8876953125,10271493.771714564
2851.71044921875,10354198.054212924
2850.064208984375,10298915.19264263
2879.857421875,10386568.460264623
2895.5859375,10469323.39014095
2875.4794921875,10616816.541567266
2895.064453125,10560906.805696905
2950.06982421875,10706304.703785533
2924.398193359375,10878041.202713603
2923.76318359375,10773944.492437
2978.182861328125,10777837.682415599
2968.13818359375,10925844.613267535
2930.033203125,10874958.609993465
2909.323974609375,10754169.854528911
2901.67333984375,10663044.078428753
2912.036376953125,10643051.10553027
2821.0419921875,10653922.386581905
2907.88623046875,10296924.334032543
2921.443603515625,10558805.106194027
2947.566650390625,10604430.084068783
3018.070068359375,10657155.808718212
2964.834716796875,10929124.548275478
2868.82958984375,10708335.374388302
2924.216552734375,10333472.985586727
2888.361083984375,10566481.398806179
2841.982421875,10377156.46708926
2798.76953125,10168097.591051662
2694.02294921875,10034861.69614981
2685.5908203125,9786898.621966345
2625.7470703125,9772614.619280798
2569.7890625,9591449.46897219
2628.416015625,9359710.64477156
2559.619140625,9617472.3325762
2639.38330078125,9216377.72074072
2700.1865234375,9583693.540481016
2689.2802734375,9885096.931603834
2701.444580078125,9831562.296107695
2690.0419921875,9813305.029631663
2689.37890625,9654706.483412791
2682.07958984375,9648661.94958787
2719.886474609375,9681372.537375499
2708.82470703125,9865156.6008101
2757.406494140625,9796795.11905597
2743.886474609375,10044619.36746524
2752.587890625,10011015.43823169
2749.8466796875,10068811.11427234
2739.16650390625,9961648.219737275
2785.719970703125,9919193.764121251
2764.48828125,10044524.733121114
2768.26171875,9969158.371431546
2809.07568359375,9992807.423264699
2819.793701171875,10088820.251137929
2784.53271484375,10068556.280396812
2804.2373046875,9964629.37292897
2797.6611328125,9974405.88359677
2776.0244140625,9950967.182920806
2805.22021484375,9881954.613016479
2825.139404296875,9994704.552815787
2844.814208984375,9999489.852736823
2861.90771484375,10165806.453846328
2863.84521484375,10259449.68144738
2854.423095703125,10220993.735955589
2873.012451171875,10167856.414411895
2871.84765625,10239484.65421044
2869.597412109375,10231571.74882733
2867.71240234375,10166249.543474548
2834.53271484375,10163664.876530997
2819.691162109375,10026008.680274148
2837.172119140625,9986258.568503518
2860.668212890625,10021791.327716965
2856.139892578125,10102311.18138041
2846.823974609375,10084056.558515687
2775.8095703125,10045980.61664309
2789.70947265625,9811917.601897378
2808.841796875,9851201.169087548
2795.480712890625,9956389.311291832
2809.664794921875,9944805.839326043
2806.664306640625,10015532.280184884
2870.355712890625,10032428.758551735
2885.9208984375,10219254.90660872
2889.108642578125,10293308.711435456
2883.36328125,10327564.480163712
2896.349609375,10287844.323994774
2909.586669921875,10363402.045037407
2928.30419921875,10386268.36893763
2908.475341796875,10456475.298525948
2876.512939453125,10382964.630391259
2884.11572265625,10243517.010326827
2838.607421875,10229588.263149703
2878.992431640625,10103760.471482718
2881.132080078125,10223351.034470046
2888.95751953125,10210049.366994346
2925.935546875,10242797.62091204
2921.8916015625,10295816.423483336
2925.416015625,10245474.88100096
2943.473388671875,10174181.519980872
2925.4833984375,10249123.622293914
2942.07421875,10066075.526320912
3009.861083984375,10231331.134688832
3084.238037109375,10383697.747790791
3159.158203125,10700304.895389058
3374.13623046875,11058988.883817174
3381.7607421875,11646189.187423375
3429.94482421875,11627353.373662617
3442.0205078125,11731744.484845784
3351.780029296875,11751384.501043942
3390.114990234375,11460472.299544003
3348.03125,11488828.958031004
3313.7646484375,11323291.88158161
3162.025146484375,11203930.597444838
3185.890869140625,10921409.377213782
3287.9150390625,10894672.483846014
3286.814697265625,11198066.610342152
3291.360595703125,11156896.693807729
3284.1103515625,11151157.214599736
3158.285400390625,11032869.391494878
3163.230712890625,10738780.217867978
3185.890380859375,10585689.12794696
3243.385009765625,10651178.07047473
3231.519287109375,10955365.51706897
3249.33740234375,10966830.445219146
3281.101318359375,11049262.508321868
3312.133544921875,11327881.546194308
3292.309326171875,11371212.209875338
3292.2001953125,11474987.077886812
3263.74560546875,11542289.930279009
3285.76025390625,11374193.701393358
3262.824462890625,11504421.126062624
3249.738037109375,11283861.888248675
3241.844482421875,11322342.283851855
3288.51416015625,11354834.953434221
3368.848876953125,11473759.545166247
3367.331298828125,11788170.001775973
3307.6591796875,11736957.243711703
3264.532958984375,11559849.724561922
